ep,n_up,n_down,last_up,last_down,confirmed_dead
1786668900,1134,1134,0.37/0.41,0.59/0.63,False
1786699800,226,226,0.01/0.01,0.99/1.00,False
1787112300,1,1,0.50/0.51,0.49/0.50,True
1787112600,1,1,0.50/0.51,0.49/0.50,True
1787112900,1,1,0.50/0.51,0.49/0.50,True
1787113500,1,1,0.50/0.51,0.49/0.50,True
1787113800,1,1,0.50/0.51,0.49/0.50,True
1787114700,1,1,0.50/0.54,0.46/0.50,True
1787115000,1,1,0.50/0.60,0.40/0.50,True
1787115300,1,1,0.50/0.51,0.49/0.50,True
1787115600,1,1,0.50/0.51,0.49/0.50,True
1787115900,1,1,0.50/0.51,0.49/0.50,True
1787116200,1,1,0.50/0.51,0.49/0.50,True
1787116500,1,1,0.50/0.51,0.49/0.50,True
1787116800,1,1,0.50/0.51,0.49/0.50,True
1787117100,1,1,0.50/0.51,0.49/0.50,True
1787117400,1,1,0.50/0.51,0.49/0.50,True
1787117700,1,1,0.50/0.51,0.49/0.50,True
1787130300,1,1,0.50/0.51,0.49/0.50,True
1787130600,1,1,0.50/0.51,0.49/0.50,True
1787130900,1,1,0.50/0.51,0.49/0.50,True
1787131200,1,1,0.50/0.51,0.49/0.50,True
1787131500,1,1,0.50/0.51,0.49/0.50,True
1787131800,1,1,0.50/0.51,0.49/0.50,True
1787132100,1,1,0.50/0.51,0.49/0.50,True
1787132700,1,1,0.50/0.51,0.49/0.50,True
1787133000,1,1,0.50/0.51,0.49/0.50,True
1787133300,1,1,0.50/0.51,0.49/0.50,True
1787133600,1,1,0.50/0.51,0.49/0.50,True
1787133900,1,1,0.50/0.51,0.49/0.50,True
1787134800,1,1,0.50/0.51,0.49/0.50,True
1787135100,1,1,0.50/0.51,0.49/0.50,True
1787135400,1,1,0.50/0.51,0.49/0.50,True
1787135700,1,1,0.50/0.51,0.49/0.50,True
1787136000,1,1,0.50/0.51,0.49/0.50,True
1787172300,693,693,0.01/0.01,0.99/1.00,False
1787193000,1053,1053,0.99/1.00,0.01/0.01,False
1787217300,396,396,0.99/1.00,0.01/0.01,False
