k,model,n_eval,n_days_eval,n_windows_at_k,n_no_book,n_proj_cold,logloss,brier,logloss_minus_book,days_better_than_book,boot_p_two_sided,boot_ci_lo,boot_ci_hi,logloss_minus_book_recal,days_better_than_book_recal,boot_p_vs_book_recal,boot_ci_lo_vs_recal,boot_ci_hi_vs_recal
58,book,6172,23,7018,82,186,0.18547,0.05550,0.00000,,,0.00000,0.00000,0.00091,9.00000,0.38280,-0.00121,0.00264
58,book_recal,6172,23,7018,82,186,0.18456,0.05551,-0.00091,14.00000,0.38280,-0.00264,0.00121,0.00000,,,0.00000,0.00000
58,proj_cell,6172,23,7018,82,186,0.20291,0.05747,0.01744,4.00000,0.11720,-0.00515,0.04016,0.01835,4.00000,0.10240,-0.00411,0.04109
58,proj_logit,6172,23,7018,82,186,0.21006,0.05672,0.02459,8.00000,0.08120,-0.00360,0.05597,0.02550,6.00000,0.06920,-0.00258,0.05654
58,combo,6172,23,7018,82,186,0.17110,0.05018,-0.01436,16.00000,0.00120,-0.02632,-0.00376,-0.01345,16.00000,0.00160,-0.02536,-0.00305
45,book,6152,23,7018,84,209,0.12677,0.03768,0.00000,,,0.00000,0.00000,0.00267,7.00000,0.00040,0.00107,0.00425
45,book_recal,6152,23,7018,84,209,0.12410,0.03780,-0.00267,16.00000,0.00040,-0.00425,-0.00107,0.00000,,,0.00000,0.00000
45,proj_cell,6152,23,7018,84,209,0.12766,0.03490,0.00090,7.00000,0.78720,-0.01982,0.02088,0.00356,7.00000,0.61360,-0.01700,0.02319
45,proj_logit,6152,23,7018,84,209,0.13516,0.03436,0.00840,8.00000,0.45720,-0.01738,0.03504,0.01107,7.00000,0.34280,-0.01475,0.03739
45,combo,6152,23,7018,84,209,0.10593,0.03072,-0.02084,18.00000,0.00020,-0.03618,-0.00720,-0.01817,17.00000,0.00040,-0.03369,-0.00462
30,book,6119,23,7018,87,246,0.08309,0.02355,0.00000,,,0.00000,0.00000,0.00400,2.00000,0.00020,0.00280,0.00515
30,book_recal,6119,23,7018,87,246,0.07909,0.02352,-0.00400,21.00000,0.00020,-0.00515,-0.00280,0.00000,,,0.00000,0.00000
30,proj_cell,6119,23,7018,87,246,0.07087,0.01888,-0.01222,11.00000,0.28600,-0.03400,0.00785,-0.00821,9.00000,0.51520,-0.03025,0.01168
30,proj_logit,6119,23,7018,87,246,0.07563,0.01830,-0.00746,11.00000,0.66280,-0.03142,0.01608,-0.00346,10.00000,0.92240,-0.02745,0.01996
30,combo,6119,23,7018,87,246,0.05775,0.01563,-0.02534,21.00000,0.00020,-0.04286,-0.00979,-0.02134,17.00000,0.00040,-0.03882,-0.00595
20,book,6113,23,7018,59,276,0.06170,0.01707,0.00000,,,0.00000,0.00000,0.00545,1.00000,0.00020,0.00416,0.00671
20,book_recal,6113,23,7018,59,276,0.05625,0.01712,-0.00545,22.00000,0.00020,-0.00671,-0.00416,0.00000,,,0.00000,0.00000
20,proj_cell,6113,23,7018,59,276,0.03841,0.00943,-0.02329,13.00000,0.00920,-0.04397,-0.00430,-0.01784,13.00000,0.08160,-0.03916,0.00151
20,proj_logit,6113,23,7018,59,276,0.04109,0.00893,-0.02061,12.00000,0.07120,-0.04450,0.00156,-0.01516,9.00000,0.20960,-0.03919,0.00704
20,combo,6113,23,7018,59,276,0.03036,0.00746,-0.03134,21.00000,0.00020,-0.05140,-0.01302,-0.02589,17.00000,0.00120,-0.04620,-0.00733
10,book,6072,23,7018,83,301,0.03981,0.01061,0.00000,,,0.00000,0.00000,0.00897,0.00000,0.00020,0.00828,0.00966
10,book_recal,6072,23,7018,83,301,0.03084,0.01052,-0.00897,23.00000,0.00020,-0.00966,-0.00828,0.00000,,,0.00000,0.00000
10,proj_cell,6072,23,7018,83,301,0.01215,0.00269,-0.02766,18.00000,0.00020,-0.04725,-0.01057,-0.01869,12.00000,0.03120,-0.03853,-0.00136
10,proj_logit,6072,23,7018,83,301,0.01086,0.00252,-0.02895,21.00000,0.00020,-0.04868,-0.01089,-0.01997,13.00000,0.02520,-0.03997,-0.00172
10,combo,6072,23,7018,83,301,0.00618,0.00170,-0.03363,21.00000,0.00020,-0.05217,-0.01683,-0.02466,14.00000,0.00020,-0.04348,-0.00775
